iter	Passed	Remaining
0	0	68
1	1	71
2	2	68
3	2	67
4	3	68
5	4	67
6	5	67
7	5	65
8	6	65
9	7	66
10	8	65
11	8	64
12	9	62
13	10	61
14	10	60
15	11	58
16	11	57
17	12	56
18	12	54
19	13	53
20	13	52
21	14	51
22	14	50
23	15	49
24	15	47
25	16	46
26	17	45
27	17	45
28	18	44
29	18	43
30	18	42
31	19	41
32	19	40
33	20	39
34	21	39
35	21	38
36	22	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
